temp_C,whole_seq,1arm_mod_seq,2arm_mod_seq,3arm_mod_seq,4_1arm_mod_seq,sensor_Binary,sensor_DNM,core_DNAzyme,core_G-quadruplex,analyte_amplicon,analyte_dsDNA,analyte_ssDNA,class_2
23,-26.8,-6.8,-11.8,-3.7,,False,True,True,False,False,True,False,0
23,-26.8,-6.8,-11.8,-3.7,,False,True,True,False,False,True,False,0
23,-26.8,-6.8,-11.8,-3.7,,False,True,True,False,False,True,False,0
23,-26.8,-6.8,-11.8,-3.7,,False,True,True,False,False,True,False,0
23,-26.8,-6.8,-11.8,-3.7,,False,True,True,False,False,True,False,0
23,-15.4,-3.2,-8.5,,,True,False,True,False,False,True,False,0
23,-15.4,-3.2,-8.5,,,True,False,True,False,False,True,False,0
23,-15.4,-3.2,-8.5,,,True,False,True,False,False,True,False,0
23,-15.4,-3.2,-8.5,,,True,False,True,False,False,True,False,0
23,-15.4,-3.2,-8.5,,,True,False,True,False,False,True,False,0
23,-15.4,-3.2,-8.5,,,True,False,True,False,False,True,False,0
23,-15.4,-4.8,-8.5,-5.0,,False,True,True,False,False,True,False,0
23,-15.4,-4.8,-8.5,-5.0,,False,True,True,False,False,True,False,0
23,-15.4,-4.8,-8.5,-5.0,,False,True,True,False,False,True,False,0
23,-15.4,-4.8,-8.5,-5.0,,False,True,True,False,False,True,False,0
23,-15.4,-4.8,-8.5,-5.0,,False,True,True,False,False,True,False,0
23,-15.4,-4.8,-8.5,-5.0,,False,True,True,False,False,True,False,0
